Notes,Age,Age Code,Gender,Gender Code,Yearly July 1st Estimates,Yearly July 1st Estimates Code,Population
,< 1 year,0,Female,F,1999,1999,1852123
,< 1 year,0,Female,F,2000,2000,1881822
,< 1 year,0,Female,F,2001,2001,1962905
,< 1 year,0,Female,F,2002,2002,1932939
,< 1 year,0,Female,F,2003,2003,1942634
,< 1 year,0,Female,F,2004,2004,1962216
,< 1 year,0,Female,F,2005,2005,1956682
,< 1 year,0,Female,F,2006,2006,1975919
,< 1 year,0,Female,F,2007,2007,2027181
,< 1 year,0,Female,F,2008,2008,2022889
,< 1 year,0,Female,F,2009,2009,1959169
,< 1 year,0,Female,F,2010,2010,1932956
,< 1 year,0,Female,F,2011,2011,1934662
,< 1 year,0,Female,F,2012,2012,1918827
,< 1 year,0,Female,F,2013,2013,1921534
,< 1 year,0,Female,F,2014,2014,1930276
,< 1 year,0,Female,F,2015,2015,1946322
,< 1 year,0,Female,F,2016,2016,1933499
,< 1 year,0,Female,F,2017,2017,1902096
,< 1 year,0,Female,F,2018,2018,1879703
Total,< 1 year,0,Female,F,,,38776354
,< 1 year,0,Male,M,1999,1999,1943639
,< 1 year,0,Male,M,2000,2000,1974134
,< 1 year,0,Male,M,2001,2001,2049753
,< 1 year,0,Male,M,2002,2002,2018522
,< 1 year,0,Male,M,2003,2003,2033237
,< 1 year,0,Male,M,2004,2004,2052042
,< 1 year,0,Male,M,2005,2005,2047711
,< 1 year,0,Male,M,2006,2006,2065819
,< 1 year,0,Male,M,2007,2007,2120816
,< 1 year,0,Male,M,2008,2008,2109846
,< 1 year,0,Male,M,2009,2009,2044418
,< 1 year,0,Male,M,2010,2010,2018474
,< 1 year,0,Male,M,2011,2011,2028430
,< 1 year,0,Male,M,2012,2012,2007743
,< 1 year,0,Male,M,2013,2013,2009724
,< 1 year,0,Male,M,2014,2014,2024510
,< 1 year,0,Male,M,2015,2015,2037643
,< 1 year,0,Male,M,2016,2016,2021693
,< 1 year,0,Male,M,2017,2017,1991849
,< 1 year,0,Male,M,2018,2018,1968505
Total,< 1 year,0,Male,M,,,40568508
Total,< 1 year,0,,,,,79344862
