"","data_year","product_clean","count"
"1",1999,"baseball",3581
"2",1999,"basketball",9171
"3",1999,"cheerleading",425
"4",1999,"football",7977
"5",1999,"gymnastics",813
"6",1999,"soccer",3207
"7",1999,"softball",1152
"8",1999,"swimming",731
"9",1999,"volleyball",750
"10",1999,"wrestling",852
"11",2000,"baseball",3451
"12",2000,"basketball",9328
"13",2000,"cheerleading",472
"14",2000,"football",8571
"15",2000,"gymnastics",995
"16",2000,"soccer",3488
"17",2000,"softball",1156
"18",2000,"swimming",860
"19",2000,"volleyball",819
"20",2000,"wrestling",876
"21",2001,"baseball",3272
"22",2001,"basketball",10282
"23",2001,"cheerleading",584
"24",2001,"football",9351
"25",2001,"gymnastics",918
"26",2001,"soccer",3351
"27",2001,"softball",1017
"28",2001,"swimming",1156
"29",2001,"volleyball",757
"30",2001,"wrestling",901
"31",2002,"baseball",3546
"32",2002,"basketball",10757
"33",2002,"cheerleading",603
"34",2002,"football",9050
"35",2002,"gymnastics",855
"36",2002,"soccer",3409
"37",2002,"softball",1130
"38",2002,"swimming",1142
"39",2002,"volleyball",788
"40",2002,"wrestling",714
"41",2003,"baseball",3266
"42",2003,"basketball",10511
"43",2003,"cheerleading",638
"44",2003,"football",9148
"45",2003,"gymnastics",815
"46",2003,"soccer",3243
"47",2003,"softball",1067
"48",2003,"swimming",1143
"49",2003,"volleyball",778
"50",2003,"wrestling",630
"51",2004,"baseball",3214
"52",2004,"basketball",10250
"53",2004,"cheerleading",696
"54",2004,"football",9732
"55",2004,"gymnastics",947
"56",2004,"soccer",3508
"57",2004,"softball",1115
"58",2004,"swimming",1152
"59",2004,"volleyball",797
"60",2004,"wrestling",714
"61",2005,"baseball",3220
"62",2005,"basketball",9855
"63",2005,"cheerleading",672
"64",2005,"football",10655
"65",2005,"gymnastics",872
"66",2005,"soccer",3753
"67",2005,"softball",1166
"68",2005,"swimming",1267
"69",2005,"volleyball",803
"70",2005,"wrestling",754
"71",2006,"baseball",3251
"72",2006,"basketball",9740
"73",2006,"cheerleading",699
"74",2006,"football",11268
"75",2006,"gymnastics",865
"76",2006,"soccer",3785
"77",2006,"softball",1207
"78",2006,"swimming",1179
"79",2006,"volleyball",843
"80",2006,"wrestling",814
"81",2007,"baseball",3338
"82",2007,"basketball",9220
"83",2007,"cheerleading",692
"84",2007,"football",11292
"85",2007,"gymnastics",823
"86",2007,"soccer",4110
"87",2007,"softball",1130
"88",2007,"swimming",1157
"89",2007,"volleyball",870
"90",2007,"wrestling",827
"91",2008,"baseball",3140
"92",2008,"basketball",8807
"93",2008,"cheerleading",749
"94",2008,"football",11777
"95",2008,"gymnastics",821
"96",2008,"soccer",4209
"97",2008,"softball",1207
"98",2008,"swimming",1176
"99",2008,"volleyball",913
"100",2008,"wrestling",828
"101",2009,"baseball",3239
"102",2009,"basketball",8930
"103",2009,"cheerleading",779
"104",2009,"football",11220
"105",2009,"gymnastics",855
"106",2009,"soccer",4584
"107",2009,"softball",1386
"108",2009,"swimming",1089
"109",2009,"volleyball",936
"110",2009,"wrestling",928
"111",2010,"baseball",3265
"112",2010,"basketball",9699
"113",2010,"cheerleading",906
"114",2010,"football",12064
"115",2010,"gymnastics",827
"116",2010,"soccer",5076
"117",2010,"softball",1414
"118",2010,"swimming",1626
"119",2010,"volleyball",993
"120",2010,"wrestling",984
"121",2011,"baseball",3163
"122",2011,"basketball",10040
"123",2011,"cheerleading",968
"124",2011,"football",11855
"125",2011,"gymnastics",803
"126",2011,"soccer",4918
"127",2011,"softball",1305
"128",2011,"swimming",1488
"129",2011,"volleyball",1004
"130",2011,"wrestling",1095
"131",2012,"baseball",3233
"132",2012,"basketball",10581
"133",2012,"cheerleading",983
"134",2012,"football",11443
"135",2012,"gymnastics",918
"136",2012,"soccer",5256
"137",2012,"softball",1387
"138",2012,"swimming",1458
"139",2012,"volleyball",1065
"140",2012,"wrestling",1054
"141",2013,"baseball",2842
"142",2013,"basketball",9762
"143",2013,"cheerleading",937
"144",2013,"football",10194
"145",2013,"gymnastics",1036
"146",2013,"soccer",5284
"147",2013,"softball",1166
"148",2013,"swimming",1292
"149",2013,"volleyball",902
"150",2013,"wrestling",957
"151",2014,"baseball",2661
"152",2014,"basketball",9518
"153",2014,"cheerleading",911
"154",2014,"football",9437
"155",2014,"gymnastics",990
"156",2014,"soccer",5444
"157",2014,"softball",1258
"158",2014,"swimming",1167
"159",2014,"volleyball",949
"160",2014,"wrestling",898
"161",2015,"baseball",2393
"162",2015,"basketball",8868
"163",2015,"cheerleading",933
"164",2015,"football",9662
"165",2015,"gymnastics",989
"166",2015,"soccer",5320
"167",2015,"softball",1155
"168",2015,"swimming",1361
"169",2015,"volleyball",1002
"170",2015,"wrestling",926
"171",2016,"baseball",2472
"172",2016,"basketball",9391
"173",2016,"cheerleading",918
"174",2016,"football",9887
"175",2016,"gymnastics",1121
"176",2016,"soccer",5740
"177",2016,"softball",1176
"178",2016,"swimming",1558
"179",2016,"volleyball",1133
"180",2016,"wrestling",828
"181",2017,"baseball",2301
"182",2017,"basketball",10338
"183",2017,"cheerleading",972
"184",2017,"football",9102
"185",2017,"gymnastics",1168
"186",2017,"soccer",5681
"187",2017,"softball",1261
"188",2017,"swimming",2030
"189",2017,"volleyball",1080
"190",2017,"wrestling",949
"191",2018,"baseball",2202
"192",2018,"basketball",8948
"193",2018,"cheerleading",770
"194",2018,"football",7713
"195",2018,"gymnastics",1172
"196",2018,"soccer",5119
"197",2018,"softball",1054
"198",2018,"swimming",2088
"199",2018,"volleyball",1052
"200",2018,"wrestling",892
