"","state","sport","boys_participation","girls_participation","total_participation","boys_rank","girls_rank","total_rank"
"1","AK","Basketball",2258,1744,4002,1,2,1
"2","AK","Track and Field -- Outdoor",1372,1025,2397,3,3,2
"3","AK","Volleyball",304,2003,2307,11,1,3
"4","AK","Cross Country",1209,836,2045,5,5,4
"5","AK","Soccer",951,974,1925,6,4,5
"6","AK","Football -- 11-Player",1798,65,1863,2,18,6
"7","AK","Wrestling",1338,337,1675,4,11,7
"8","AK","Mixed 6-Coed Volleyball",275,715,990,12,6,8
"9","AK","Swimming & Diving",368,457,825,10,9,9
"10","AK","Skiing -- Cross Country",429,390,819,9,10,10
"11","AL","Football -- 11-Player",30882,0,30882,1,13,1
"12","AL","Basketball",13698,8475,22173,3,3,2
"13","AL","Baseball",15096,0,15096,2,13,3
"14","AL","Track and Field -- Outdoor",8115,5669,13784,4,4,4
"15","AL","Soccer",6588,5021,11609,5,5,5
"16","AL","Volleyball",0,10095,10095,14,1,6
"17","AL","Softball -- Fast Pitch",0,9698,9698,14,2,7
"18","AL","Cross Country",3667,2573,6240,6,6,8
"19","AL","Track and Field -- Indoor",2670,1929,4599,8,7,9
"20","AL","Tennis",1559,1835,3394,10,8,10
"21","AR","Football -- 11-Player",10542,72,10614,1,18,1
"22","AR","Basketball",5446,4211,9657,3,2,2
"23","AR","Track and Field -- Outdoor",4761,3660,8421,4,3,3
"24","AR","Baseball",5571,0,5571,2,25,4
"25","AR","Soccer",2987,2547,5534,5,5,5
"26","AR","Softball -- Fast Pitch",58,4420,4478,17,1,6
"27","AR","Cross Country",2006,1530,3536,6,7,7
"28","AR","Volleyball",0,3085,3085,24,4,8
"29","AR","Tennis",1006,1168,2174,11,9,9
"30","AR","Golf",1248,697,1945,8,12,10
"31","AZ","Football -- 11-Player",17510,86,17596,1,14,1
"32","AZ","Track and Field -- Outdoor",8707,6579,15286,2,3,2
"33","AZ","Basketball",8551,6448,14999,3,4,3
"34","AZ","Soccer",7730,6217,13947,4,5,4
"35","AZ","Volleyball",2087,8158,10245,10,1,5
"36","AZ","Baseball",7536,14,7550,5,15,6
"37","AZ","Softball -- Fast Pitch",0,6692,6692,14,2,7
"38","AZ","Cross Country",3556,2709,6265,7,8,8
"39","AZ","Competitive Spirit Squad",261,5877,6138,13,6,9
"40","AZ","Swimming & Diving",2683,3447,6130,8,7,10
"41","CA","Track and Field -- Outdoor",56606,46327,102933,2,2,1
"42","CA","Soccer",53262,47186,100448,3,1,2
"43","CA","Football -- 11-Player",94286,469,94755,1,19,3
"44","CA","Basketball",47584,34631,82215,4,4,4
"45","CA","Volleyball",20790,45139,65929,9,3,5
"46","CA","Cross Country",32951,25377,58328,6,7,6
"47","CA","Swimming & Diving",22872,31161,54033,7,6,7
"48","CA","Baseball",44477,367,44844,5,21,8
"49","CA","Tennis",18737,23428,42165,10,8,9
"50","CA","Softball -- Fast Pitch",99,33400,33499,34,5,10
"51","CO","Track and Field -- Outdoor",9972,7550,17522,2,3,1
"52","CO","Basketball",9204,7062,16266,3,4,2
"53","CO","Soccer",8368,7784,16152,4,2,3
"54","CO","Football -- 11-Player",14593,141,14734,1,17,4
"55","CO","Volleyball",0,9506,9506,18,1,5
"56","CO","Cross Country",4362,4020,8382,7,8,6
"57","CO","Baseball",8121,183,8304,5,16,7
"58","CO","Tennis",3092,4722,7814,9,6,8
"59","CO","Swimming & Diving",1976,4439,6415,11,7,9
"60","CO","Lacrosse",3714,1775,5489,8,10,10
"61","CT","Track and Field -- Outdoor",7706,6683,14389,2,1,1
"62","CT","Soccer",7271,5772,13043,3,2,2
"63","CT","Track and Field -- Indoor",5272,4935,10207,6,5,3
"64","CT","Football -- 11-Player",9196,45,9241,1,16,4
"65","CT","Basketball",5374,3765,9139,5,7,5
"66","CT","Lacrosse",4118,3789,7907,7,6,6
"67","CT","Cross Country",4106,2840,6946,8,10,7
"68","CT","Volleyball",895,4986,5881,14,4,8
"69","CT","Softball -- Fast Pitch",0,5772,5772,16,2,9
"70","CT","Baseball",5698,17,5715,4,18,10
"71","DC","Basketball",1045,526,1571,2,2,1
"72","DC","Soccer",829,574,1403,3,1,2
"73","DC","Football -- 11-Player",1346,0,1346,1,23,3
"74","DC","Track and Field -- Outdoor",672,433,1105,4,4,4
"75","DC","Cross Country",478,399,877,6,6,5
"76","DC","Track and Field -- Indoor",371,425,796,8,5,6
"77","DC","Baseball",669,0,669,5,23,7
"78","DC","Lacrosse",376,259,635,7,11,8
"79","DC","Swimming & Diving",265,257,522,9,12,9
"80","DC","Volleyball",0,469,469,25,3,10
"81","DE","Soccer",2129,1690,3819,2,1,1
"82","DE","Basketball",1775,1137,2912,3,5,2
"83","DE","Football -- 11-Player",2868,0,2868,1,18,3
"84","DE","Track and Field -- Outdoor",1613,1250,2863,4,4,4
"85","DE","Lacrosse",1613,1072,2685,4,6,5
"86","DE","Cross Country",1139,896,2035,7,8,6
"87","DE","Volleyball",197,1656,1853,13,2,7
"88","DE","Track and Field -- Indoor",898,864,1762,9,9,8
"89","DE","Field Hockey",0,1594,1594,21,3,9
"90","DE","Swimming & Diving",698,852,1550,10,10,10
"91","FL","Football -- 11-Player",41852,87,41939,1,17,1
"92","FL","Soccer",19596,17360,36956,4,2,2
"93","FL","Track and Field -- Outdoor",18926,16993,35919,5,3,3
"94","FL","Basketball",22262,13648,35910,2,4,4
"95","FL","Volleyball",2803,19319,22122,13,1,5
"96","FL","Baseball",20417,76,20493,3,18,6
"97","FL","Cross Country",8706,7704,16410,6,9,7
"98","FL","Swimming & Diving",7238,8542,15780,9,7,8
"99","FL","Tennis",5138,8758,13896,11,6,9
"100","FL","Lacrosse",7355,5743,13098,8,11,10
"101","GA","Football -- 11-Player",33027,66,33093,1,22,1
"102","GA","Track and Field -- Outdoor",14161,11208,25369,2,1,2
"103","GA","Soccer",11910,10355,22265,5,2,3
"104","GA","Basketball",13021,8777,21798,3,3,4
"105","GA","Cross Country",8264,6478,14742,6,6,5
"106","GA","Baseball",12493,28,12521,4,23,6
"107","GA","Team Tennis",4401,5003,9404,8,7,7
"108","GA","Swimming & Diving",3911,4986,8897,10,8,8
"109","GA","Volleyball",0,8485,8485,20,4,9
"110","GA","Wrestling",7799,239,8038,7,18,10
"111","HI","Football -- 11-Player",4167,22,4189,1,21,1
"112","HI","Track and Field -- Outdoor",2125,1719,3844,2,2,2
"113","HI","Soccer",1812,1673,3485,3,3,3
"114","HI","Volleyball",1524,1902,3426,6,1,4
"115","HI","Basketball",1727,1267,2994,4,6,5
"116","HI","Canoe Paddling",1227,1273,2500,7,5,6
"117","HI","Cross Country",1170,847,2017,8,11,7
"118","HI","Wrestling",1078,592,1670,9,13,8
"119","HI","Baseball",1656,8,1664,5,23,9
"120","HI","Swimming & Diving",663,897,1560,11,8,10
"121","IA","Track and Field -- Outdoor",12228,10013,22241,2,2,1
"122","IA","Basketball",11441,7414,18855,3,4,2
"123","IA","Football -- 11-Player",16785,93,16878,1,12,3
"124","IA","Soccer",6623,5610,12233,5,5,4
"125","IA","Volleyball",505,10806,11311,13,1,5
"126","IA","Cross Country",5689,4799,10488,7,6,6
"127","IA","Baseball",10463,15,10478,4,13,7
"128","IA","Golf",4804,3325,8129,8,8,8
"129","IA","Softball -- Fast Pitch",425,7465,7890,14,3,9
"130","IA","Wrestling",6406,210,6616,6,11,10
"131","ID","Basketball",3824,3349,7173,2,3,1
"132","ID","Track and Field -- Outdoor",3388,3567,6955,3,2,2
"133","ID","Football -- 11-Player",6730,36,6766,1,13,3
"134","ID","Soccer",2102,2172,4274,6,4,4
"135","ID","Volleyball",0,3771,3771,14,1,5
"136","ID","Cross Country",2011,1467,3478,7,7,6
"137","ID","Baseball",2556,0,2556,4,14,7
"138","ID","Wrestling",2445,93,2538,5,12,8
"139","ID","Tennis",1207,1208,2415,8,8,9
"140","ID","Softball -- Fast Pitch",0,2163,2163,14,5,10
"141","IL","Track and Field -- Outdoor",24973,19670,44643,2,2,1
"142","IL","Basketball",24244,16399,40643,3,3,2
"143","IL","Football -- 11-Player",40111,0,40111,1,19,3
"144","IL","Soccer",20877,16334,37211,5,4,4
"145","IL","Volleyball",6976,21961,28937,9,1,5
"146","IL","Cross Country",11665,10653,22318,7,6,6
"147","IL","Baseball",22289,0,22289,4,19,7
"148","IL","Tennis",6598,8096,14694,10,7,8
"149","IL","Softball -- Fast Pitch",0,14269,14269,17,5,9
"150","IL","Wrestling",13721,0,13721,6,19,10
"151","IN","Track and Field -- Outdoor",13730,10784,24514,2,1,1
"152","IN","Football -- 11-Player",20849,44,20893,1,14,2
"153","IN","Basketball",11111,7839,18950,3,4,3
"154","IN","Soccer",9135,7498,16633,5,5,4
"155","IN","Baseball",10513,75,10588,4,13,5
"156","IN","Tennis",4518,6052,10570,8,6,6
"157","IN","Cross Country",5543,4664,10207,7,7,7
"158","IN","Volleyball",0,9438,9438,12,2,8
"159","IN","Swimming & Diving",3549,4435,7984,10,8,9
"160","IN","Softball -- Fast Pitch",0,7923,7923,12,3,10
"161","KS","Track and Field -- Outdoor",9968,7171,17139,2,2,1
"162","KS","Basketball",8829,6625,15454,3,3,2
"163","KS","Football -- 11-Player",12792,24,12816,1,13,3
"164","KS","Volleyball",0,8372,8372,13,1,4
"165","KS","Soccer",4251,3477,7728,6,5,5
"166","KS","Cross Country",3993,2898,6891,7,6,6
"167","KS","Baseball",6671,11,6682,4,14,7
"168","KS","Tennis",2451,2647,5098,9,7,8
"169","KS","Softball -- Fast Pitch",0,5035,5035,13,4,9
"170","KS","Wrestling",4710,215,4925,5,11,10
"171","KY","Football -- 11-Player",13271,33,13304,1,19,1
"172","KY","Soccer",6545,5906,12451,5,2,2
"173","KY","Basketball",7061,5313,12374,3,5,3
"174","KY","Track and Field -- Outdoor",6633,5393,12026,4,4,4
"175","KY","Baseball",7230,18,7248,2,20,5
"176","KY","Volleyball",0,6221,6221,18,1,6
"177","KY","Cross Country",3195,2786,5981,6,7,7
"178","KY","Softball -- Fast Pitch",0,5659,5659,18,3,8
"179","KY","Competitive Spirit Squad",175,4891,5066,15,6,9
"180","KY","Archery",2486,2397,4883,7,9,10
"181","LA","Football -- 11-Player",19690,0,19690,1,17,1
"182","LA","Track and Field -- Outdoor",8977,6970,15947,2,1,2
"183","LA","Basketball",7890,5431,13321,4,4,3
"184","LA","Soccer",5045,4034,9079,5,7,4
"185","LA","Baseball",8640,0,8640,3,17,5
"186","LA","Dance/Drill",0,6378,6378,15,2,6
"187","LA","Softball -- Fast Pitch",0,6162,6162,15,3,7
"188","LA","Drill Team",0,5308,5308,15,5,8
"189","LA","Cross Country",2859,2346,5205,6,8,9
"190","LA","Volleyball",0,4809,4809,15,6,10
"191","MA","Soccer",14523,12892,27415,2,2,1
"192","MA","Track and Field -- Outdoor",14082,13322,27404,3,1,2
"193","MA","Basketball",12763,9124,21887,4,6,3
"194","MA","Track and Field -- Indoor",10090,9468,19558,6,4,4
"195","MA","Football -- 11-Player",18926,85,19011,1,19,5
"196","MA","Lacrosse",8973,8164,17137,7,7,6
"197","MA","Cross Country",7108,5792,12900,9,9,7
"198","MA","Baseball",12501,6,12507,5,20,8
"199","MA","Volleyball",2544,9803,12347,14,3,9
"200","MA","Ice Hockey",7377,2320,9697,8,12,10
"201","MD","Football -- 11-Player",12928,16,12944,1,28,1
"202","MD","Track and Field -- Outdoor",6924,5717,12641,2,2,2
"203","MD","Soccer",6764,5839,12603,3,1,3
"204","MD","Lacrosse",6378,5472,11850,4,3,4
"205","MD","Basketball",5650,4368,10018,5,7,5
"206","MD","Track and Field -- Indoor",5448,4525,9973,6,6,6
"207","MD","Cross Country",3824,2681,6505,9,9,7
"208","MD","Volleyball",658,5229,5887,13,4,8
"209","MD","Baseball",5200,7,5207,7,30,9
"210","MD","Wrestling",4557,146,4703,8,19,10
"211","ME","Soccer",4255,3665,7920,1,1,1
"212","ME","Basketball",3536,2662,6198,2,2,2
"213","ME","Track and Field -- Outdoor",2858,2544,5402,5,4,3
"214","ME","Football -- 11-Player",3443,7,3450,3,27,4
"215","ME","Lacrosse",1834,1518,3352,6,6,5
"216","ME","Baseball",3086,11,3097,4,25,6
"217","ME","Track and Field -- Indoor",1559,1408,2967,7,8,7
"218","ME","Team Tennis",1143,1501,2644,9,7,8
"219","ME","Softball -- Fast Pitch",0,2631,2631,29,3,9
"220","ME","Cross Country",1396,1215,2611,8,10,10
"221","MI","Track and Field -- Outdoor",23566,17302,40868,2,2,1
"222","MI","Basketball",21367,15659,37026,3,3,2
"223","MI","Football -- 11-Player",35475,108,35583,1,27,3
"224","MI","Soccer",14550,13285,27835,5,5,4
"225","MI","Volleyball",0,19416,19416,32,1,5
"226","MI","Cross Country",9650,8702,18352,6,7,6
"227","MI","Baseball",17668,7,17675,4,36,7
"228","MI","Tennis",6134,9154,15288,9,6,8
"229","MI","Softball -- Fast Pitch",0,13610,13610,32,4,9
"230","MI","Swimming & Diving",5020,5810,10830,11,9,10
"231","MN","Track and Field -- Outdoor",17026,16458,33484,2,1,1
"232","MN","Basketball",13847,12206,26053,3,4,2
